period,seriesId,seriesDescription,stateId,stateDescription,value,unit
2023,NUETB,"Nuclear energy consumed for electricity generation, total",DE,Delaware,0,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",FL,Florida,312935,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",GA,Georgia,390663,Billion Btu
2023,NUETD,"Nuclear fuel average price, all sectors",MN,Minnesota,.77,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",MO,Missouri,.7,Dollars per million Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",MO,Missouri,95947,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",MS,Mississippi,122807,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",MT,Montana,0,Billion Btu
2023,NUETD,"Nuclear fuel average price, all sectors",TX,Texas,.59,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",US,United States,.61,Dollars per million Btu
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,NV,Nevada,0,Million dollars
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,NY,New York,185.2,Million dollars
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,OH,Ohio,105.4,Million dollars
2023,NUETB,"Nuclear energy consumed for electricity generation, total",RI,Rhode Island,0,Billion Btu
2023,NUETD,"Nuclear fuel average price, all sectors",MS,Mississippi,.65,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",MT,Montana,0,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",NC,North Carolina,.55,Dollars per million Btu
2023,NUETP,Nuclear electricity total net generation,SC,South Carolina,55622,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,SD,South Dakota,0,Million kilowatthours
2023,NUETD,"Nuclear fuel average price, all sectors",UT,Utah,0,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",VA,Virginia,.59,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",VT,Vermont,0,Dollars per million Btu
2023,NUEGP,Nuclear electricity net generation in the electric power sector,NY,New York,27525,Million kilowatthours
2023,NUETB,"Nuclear energy consumed for electricity generation, total",SC,South Carolina,581365,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",SD,South Dakota,0,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",TN,Tennessee,396522,Billion Btu
2023,NUETP,Nuclear electricity total net generation,DE,Delaware,0,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,IL,Illinois,97559,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,TN,Tennessee,37937,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,TX,Texas,40680,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,WV,West Virginia,0,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,OH,Ohio,16207,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,OK,Oklahoma,0,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,OR,Oregon,0,Million kilowatthours
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,KY,Kentucky,0,Million dollars
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,LA,Louisiana,73.4,Million dollars
2023,NUETP,Nuclear electricity total net generation,FL,Florida,29940,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,GA,Georgia,37377,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,HI,Hawaii,0,Million kilowatthours
2023,NUEGD,Nuclear fuel price in the electric power sector,US,United States,.61,Dollars per million Btu
2023,NUEGD,Nuclear fuel price in the electric power sector,UT,Utah,0,Dollars per million Btu
2023,NUEGP,Nuclear electricity net generation in the electric power sector,IN,Indiana,0,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,KS,Kansas,10302,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,KY,Kentucky,0,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,MI,Michigan,27996,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,WY,Wyoming,0,Million kilowatthours
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,AK,Alaska,0,Million dollars
2023,NUETB,"Nuclear energy consumed for electricity generation, total",VA,Virginia,310037,Billion Btu
2023,NUETP,Nuclear electricity total net generation,IA,Iowa,0,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,NE,Nebraska,6926,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,NH,New Hampshire,9535,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,NJ,New Jersey,28335,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,LA,Louisiana,12211,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,VA,Virginia,29663,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,VT,Vermont,0,Million kilowatthours
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,AZ,Arizona,211.7,Million dollars
2023,NUETD,"Nuclear fuel average price, all sectors",WV,West Virginia,0,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",WY,Wyoming,0,Dollars per million Btu
2023,NUETK,Factor for converting electricity generated from nuclear power from physical units to Btu,US,United States,10.452,Thousand Btu per kilowatthour
2023,NUEGP,Nuclear electricity net generation in the electric power sector,PA,Pennsylvania,75305,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,ID,Idaho,0,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,IL,Illinois,97559,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,IN,Indiana,0,Million kilowatthours
2023,NUEGD,Nuclear fuel price in the electric power sector,WI,Wisconsin,.59,Dollars per million Btu
2023,NUEGP,Nuclear electricity net generation in the electric power sector,MA,Massachusetts,0,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,MD,Maryland,14984,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,ME,Maine,0,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,MT,Montana,0,Million kilowatthours
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,CA,California,106.3,Million dollars
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,CO,Colorado,0,Million dollars
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,CT,Connecticut,84.1,Million dollars
2023,NUETB,"Nuclear energy consumed for electricity generation, total",IN,Indiana,0,Billion Btu
2023,NUEGP,Nuclear electricity net generation in the electric power sector,RI,Rhode Island,0,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,SC,South Carolina,55622,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,SD,South Dakota,0,Million kilowatthours
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,MI,Michigan,158.7,Million dollars
2023,NUEGP,Nuclear electricity net generation in the electric power sector,DC,District of Columbia,0,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,DE,Delaware,0,Million kilowatthours
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,WV,West Virginia,0,Million dollars
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,WY,Wyoming,0,Million dollars
2023,NUEGP,Nuclear electricity net generation in the electric power sector,NC,North Carolina,42336,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,ND,North Dakota,0,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,NE,Nebraska,6926,Million kilowatthours
2023,NUETD,"Nuclear fuel average price, all sectors",IL,Illinois,.63,Dollars per million Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",KS,Kansas,107675,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",KY,Kentucky,0,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",LA,Louisiana,127634,Billion Btu
2023,NUETD,"Nuclear fuel average price, all sectors",NV,Nevada,0,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",NY,New York,.64,Dollars per million Btu
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,MN,Minnesota,96.4,Million dollars
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,TN,Tennessee,4523,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,TX,Texas,4980,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,US,United States,95712,Thousand kilowatts
2023,NUETV,Nuclear fuel total expenditures,DC,District of Columbia,0,Million dollars
2023,NUETV,Nuclear fuel total expenditures,DE,Delaware,0,Million dollars
2023,NUETV,Nuclear fuel total expenditures,FL,Florida,153.7,Million dollars
2023,NUETV,Nuclear fuel total expenditures,NC,North Carolina,244.6,Million dollars
2023,NUETV,Nuclear fuel total expenditures,ND,North Dakota,0,Million dollars
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,UT,Utah,0,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,VA,Virginia,3568,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,VT,Vermont,0,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,WA,Washington,1151,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,WI,Wisconsin,1187,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,WV,West Virginia,0,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,WY,Wyoming,0,Thousand kilowatts
2023,NUETV,Nuclear fuel total expenditures,GA,Georgia,301.6,Million dollars
2023,NUETV,Nuclear fuel total expenditures,HI,Hawaii,0,Million dollars
2023,NUETV,Nuclear fuel total expenditures,NE,Nebraska,47.4,Million dollars
2023,NUETV,Nuclear fuel total expenditures,NH,New Hampshire,58.6,Million dollars
2023,NUETV,Nuclear fuel total expenditures,WA,Washington,57.7,Million dollars
2023,NUETV,Nuclear fuel total expenditures,WI,Wisconsin,59.6,Million dollars
2023,NUETV,Nuclear fuel total expenditures,WV,West Virginia,0,Million dollars
2023,NUETV,Nuclear fuel total expenditures,IA,Iowa,0,Million dollars
2023,NUETV,Nuclear fuel total expenditures,ID,Idaho,0,Million dollars
2023,NUETV,Nuclear fuel total expenditures,IL,Illinois,640.4,Million dollars
2023,NUETV,Nuclear fuel total expenditures,NJ,New Jersey,181.2,Million dollars
2023,NUETV,Nuclear fuel total expenditures,NM,New Mexico,0,Million dollars
2023,NUETV,Nuclear fuel total expenditures,NV,Nevada,0,Million dollars
2023,NUETV,Nuclear fuel total expenditures,WY,Wyoming,0,Million dollars
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,AK,Alaska,0,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,AL,Alabama,5453,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,AR,Arkansas,1825,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,AZ,Arizona,3937,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,CA,California,2240,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,CO,Colorado,0,Thousand kilowatts
2023,NUETV,Nuclear fuel total expenditures,IN,Indiana,0,Million dollars
2023,NUETV,Nuclear fuel total expenditures,KS,Kansas,66.5,Million dollars
2023,NUETV,Nuclear fuel total expenditures,NY,New York,185.2,Million dollars
2023,NUETV,Nuclear fuel total expenditures,OH,Ohio,105.4,Million dollars
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,CT,Connecticut,2081,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,DC,District of Columbia,0,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,DE,Delaware,0,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,FL,Florida,3666,Thousand kilowatts
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,GA,Georgia,5175,Thousand kilowatts
2023,NUETB,"Nuclear energy consumed for electricity generation, total",MA,Massachusetts,0,Billion Btu
